text,label
"Very few bugs and glitches.",1
"User manual is well-written and concise.",1
"Customer feedback is taken seriously.",1
"Software is regularly updated.",1
"Perfect for gaming and productivity.",1
"Doesn’t overheat even under stress.",1
"Includes all necessary accessories.",1
"Highly responsive touch controls.",1
"Very customizable settings.",1
"Syncs seamlessly with cloud services.",1
"Fast boot-up times.",1
"Offers excellent value overall.",1
"Great for streaming and media.",1
"Easy to clean and maintain.",1
"Screen is bright even in sunlight.",1
"Setup wizard made it very easy.",1
"Features are very useful daily.",1
"Compact design fits nicely on desk.",1
"Battery life exceeded my expectations.",1
"Stopped working after one month.",0
"Frequent crashes and freezes.",0
"Unresponsive controls frustrate me.",0
"Customer service was rude.",0
"Setup was confusing and complicated.",0
"Overheats quickly under light use.",0
"Battery drains faster than expected.",0
"Device disconnects often without reason.",0
"Too heavy and uncomfortable to hold.",0
"Screen scratches easily.",0
"Performance is inconsistent.",0
"Lots of bugs after the latest update.",0
"Buttons feel cheap and flimsy.",0
"App crashes regularly.",0
"Wi-Fi connection drops frequently.",0
"Product arrived with missing parts.",0
"Warranty support was unhelpful.",0
"Touchscreen calibration is off.",0
"Audio quality is poor and distorted.",0
"Slow charging and overheating charger.",0
"Software is difficult to navigate.",0
"Random shutdowns during use.",0
"Customer support never responded.",0
"Device is slower than older models.",0
"Product packaging was damaged.",0
"Too many unnecessary pre-installed apps.",0
"Screen flickers constantly.",0
"Bluetooth keeps disconnecting.",0
"Sync feature never worked.",0
"Very limited customization options.",0
"Unstable software updates.",0
"Feels cheaply made and fragile.",0
"Instructions were missing important info.",0
"Can’t connect to network reliably.",0
"Display is dim and washed out.",0
"Volume buttons stuck after a week.",0
"Lost data after a system update.",0
"Charging port broke quickly.",0
"Received the wrong model.",0
"Keypad is unresponsive.",0
"App interface is confusing.",0
"Screen cracked without impact.",0
"Sound cuts out randomly.",0
"Device gets hot even when idle.",0
"Reboots during basic tasks.",0
"Battery doesn’t hold a charge.",0
"Very noisy fan.",0
"Unhelpful and slow customer service.",0
"Feels lightweight yet very durable.",1
"Performance is smooth and reliable.",1
"Love how responsive the controls are.",1
"Exceeded my expectations in every way.",1
"Customer support was quick and helpful.",1
"Very pleased with the overall quality.",1
"Everything works seamlessly out of the box.",1
"Fast and easy to set up.",1
"Design is sleek and modern.",1
"Battery lasts longer than advertised.",1
"Interface is clean and easy to navigate.",1
"Fast processing speed for daily tasks.",1
"Very intuitive and user-friendly.",1
"Great value for the features offered.",1
"Product is sturdy and well-built.",1
"Sound quality is crystal clear.",1
"Device heats up very little during use.",1
"Regular software updates improve experience.",1
"Helpful and clear documentation.",1
"Supports all the apps I need.",1
"Perfect for both work and entertainment.",1
"Packaging was secure and professional.",1
"Charging is quick and efficient.",1
"Highly customizable user settings.",1
"Great for multitasking and gaming.",1
"Wireless connection is stable and fast.",1
"Screen resolution is sharp and vibrant.",1
"Feels comfortable to hold for hours.",1
"Build quality is top-notch.",1
"Fast boot times and smooth operation.",1
"Very responsive customer service.",1
"Useful features that actually work.",1
"Setup process was straightforward.",1
"Battery management is excellent.",1
"Very reliable over long periods.",1
"Lightweight and portable design.",1
"Works well with all my devices.",1
"Minimal lag and fast response.",1
"Offers excellent value for money.",1
"Perfect gift for tech lovers.",1
"Durable materials and finish.",1
"Clear and bright display.",1
"Works flawlessly with my apps.",1
"User manual is very helpful.",1
"Quick and hassle-free returns.",1
"Regular updates add new features.",1
"Very happy with my purchase.",1
"Product stopped working within a week.",0
"Customer support was unresponsive.",0
"Too many bugs and glitches.",0
"Device overheats after short use.",0
"Battery drains too quickly.",0
"Software crashes frequently.",0
"Buttons are unresponsive.",0
"Screen quality is very poor.",0
"Very difficult to set up.",0
"Received damaged packaging.",0
"Bluetooth connection is unstable.",0
"Device randomly shuts down.",0
"App is confusing and slow.",0
"Instructions were unclear.",0
"Returned due to poor quality.",0
"Charging cable stopped working.",0
"Sound quality is terrible.",0
"Customer service was rude.",0
"Screen flickers constantly.",0
"Device is heavier than advertised.",0
"Lost all data after update.",0
"Device frequently disconnects.",0
"Warranty claim was denied.",0
"Charging port feels loose.",0
"Too slow for everyday use.",0
"Product looks cheap and fragile.",0
"Setup took too long.",0
"Wi-Fi connection drops often.",0
"App crashes on startup.",0
"Display resolution is low.",0
"Buttons stick and jam.",0
"Poor battery life overall.",0
"Device freezes randomly.",0
"Packaging was torn on arrival.",0
"Not compatible with my system.",0
"Too many ads in the app.",0
"Software updates cause more problems.",0
"Device scratches easily.",0
"Very noisy during operation.",0
"Unhelpful online support.",0
"Device does not match description.",0
"Charging time is excessively long.",0
"Interface is cluttered and confusing.",0
"Product has a strong chemical smell.",0
"Microphone quality is poor.",0
"Returned product without refund.",0
"Device overheats and shuts down.",0
"Hard to connect to other devices.",0
"Perfect fit for my daily needs.",1
"Battery charges quickly and lasts long.",1
"Impressed with the overall performance.",1
"Very easy to use and set up.",1
"Compact design fits perfectly in my bag.",1
"Customer service was friendly and helpful.",1
"High quality materials used in build.",1
"Seamless integration with my devices.",1
"Very satisfied with the speed and responsiveness.",1
"Looks stylish and modern.",1
"Setup instructions were clear and simple.",1
"Works flawlessly without any hiccups.",1
"Highly recommend for anyone looking for quality.",1
"Screen brightness is excellent even outdoors.",1
"Audio output is clear and loud.",1
"Software runs smoothly with no crashes.",1
"Lightweight yet robust construction.",1
"Great for both casual and professional use.",1
"Reliable connection over Wi-Fi and Bluetooth.",1
"Regular firmware updates improve functionality.",1
"Very little lag during operation.",1
"Offers great value for money.",1
"Customer support answered my queries promptly.",1
"Easy to clean and maintain.",1
"Functions exactly as expected.",1
"Device handles multitasking with ease.",1
"Responsive touch screen.",1
"Compact and portable design.",1
"Highly customizable settings.",1
"Excellent battery management features.",1
"Fast startup times.",1
"Screen resolution is crisp and clear.",1
"Very comfortable to hold.",1
"Durable and long-lasting battery.",1
"Setup process was straightforward and quick.",1
"Very good thermal management.",1
"Wireless connectivity is reliable.",1
"User interface is intuitive and easy.",1
"Strong and durable build quality.",1
"Fast and efficient charging.",1
"Great compatibility with other gadgets.",1
"Works well in all weather conditions.",1
"Good range of features for the price.",1
"Voice commands work accurately.",1
"Screen responds well to touch.",1
"Battery lasts longer than expected.",1
"Device stopped working after first use.",0
"Battery drains extremely fast.",0
"Poor build quality, feels cheap.",0
"Customer support did not respond.",0
"Screen cracked during normal use.",0
"Device frequently overheats.",0
"Buttons are unresponsive and sticky.",0
"Software has many bugs.",0
"Device disconnects from network often.",0
"Charging port is loose and faulty.",0
"Sound quality is muffled and low.",0
"App crashes repeatedly.",0
"Setup was confusing and difficult.",0
"Returned product due to poor quality.",0
"Received wrong item.",0
"Charging cable stopped working quickly.",0
"Screen flickers and distorts.",0
"Device shuts down unexpectedly.",0
"Product arrived with missing parts.",0
"Warranty claim was rejected.",0
"Slow response time from support.",0
"Bluetooth connection is unstable.",0
"Device freezes randomly.",0
"Too heavy and bulky.",0
"Lost data after update.",0
"Poor battery life overall.",0
"Product has unpleasant odor.",0
"Very noisy fan during operation.",0
"Interface is confusing and cluttered.",0
"Device scratches easily.",0
"Not compatible with my system.",0
"Charging takes too long.",0
"Buttons jam and stick frequently.",0
"Received damaged packaging.",0
"Wi-Fi keeps dropping.",0
"Device performs slower than expected.",0
"App interface is poor.",0
"Microphone quality is bad.",0
"Returned product without refund.",0
"Overheats and shuts down.",0
"Hard to connect to other devices.",0
"Very slow software updates.",0
"Unhelpful customer service.",0
"Device is louder than expected.",0
"Battery won’t charge at all.",0
"Product does not match description.",0
"Sound cuts out intermittently.",0
"Screen resolution is poor.",0
"Device is fragile and breaks easily.",0
"Easy to install and configure.",1
"Very lightweight and compact.",1
"Works well under heavy use.",1
"Great audio and video quality.",1
"Extremely reliable and stable.",1
"User experience is smooth and pleasant.",1
"Highly efficient battery saver mode.",1
"Solid construction and finish.",1
"Fast and responsive touch screen.",1
"Supports multiple languages.",1
"Clear and loud speaker output.",1
"Excellent wireless range.",1
"Syncs quickly with other devices.",1
"Interface is clean and modern.",1
"Battery life exceeds expectations.",1
"Easy to navigate menus.",1
"Quick firmware updates fix bugs.",1
"Lightweight but very sturdy.",1
"Charging cable is long and durable.",1
"Very customizable settings options.",1
"Screen is vibrant and colorful.",1
"App interface is user-friendly.",1
"Great support documentation available.",1
"Perfect for on-the-go usage.",1
"Very minimal latency.",1
"Excellent build materials used.",1
"Fast data transfer speeds.",1
"Device runs quietly.",1
"Works perfectly with headphones.",1
"Setup was intuitive and quick.",1
"Software is regularly updated.",1
"Device cools down quickly after use.",1
"Good balance of power and efficiency.",1
"Functions well even in low light.",1
"Device fits well in hand.",1
"Strong signal even through walls.",1
"User manual is detailed and helpful.",1
"Great value for the price paid.",1
"Compatible with most accessories.",1
"Fast charging feature works well.",1
"Very responsive customer care.",1
"Screen protects well against scratches.",1
"Easy to carry while traveling.",1
"Buttons provide good tactile feedback.",1
"Long-lasting software support.",1
"Battery performance is consistent.",1
"Device boots up very fast.",1
"Device crashes after minimal use.",0
"Battery drains within hours.",0
"Very poor construction quality.",0
"Customer support ignored my requests.",0
"Screen cracked without any impact.",0
"Device overheats after short periods.",0
"Buttons often fail to respond.",0
"Software is full of bugs.",0
"Connection drops frequently.",0
"Charging port is damaged.",0
"Audio output is distorted.",0
"App frequently freezes.",0
"Setup instructions are confusing.",0
"Returned due to product defects.",0
"Received incorrect item.",0
"Charging cable broke easily.",0
"Screen flickers constantly.",0
"Device shuts down unexpectedly.",0
"Product missing components.",0
"Warranty claim denied unfairly.",0
"Slow and unhelpful support.",0
"Bluetooth disconnects regularly.",0
"Device freezes randomly.",0
"Too heavy and awkward to use.",0
"Lost important data after update.",0
"Battery life is inadequate.",0
"Product emits strange smell.",0
"Loud fan noise during operation.",0
"User interface is cluttered.",0
"Device easily scratched.",0
"Incompatible with my devices.",0
"Charging time is too long.",0
"Buttons stick and jam.",0
"Packaging arrived damaged.",0
"Wi-Fi connection is unstable.",0
"Device is sluggish.",0
"Poor app design.",0
"Microphone does not work well.",0
"Refund process was difficult.",0
"Device overheats and shuts off.",0
"Hard to pair with other devices.",0
"Software updates cause issues.",0
"Customer service was unhelpful.",0
"Device is noisier than expected.",0
"Battery will not charge.",0
"Product description is misleading.",0
"Audio cuts out randomly.",0
"Low screen resolution.",0
"Device is fragile and breaks easily.",0
